YearPublished,MinPlayers,MaxPlayers,ComAgeRec,Kickstarted,AvgGameweight,ComAvgPlaytime,ComAvgPlaytime_log,PopularityScore,CategoryLabel,Rating
2017,2,4,21.0,0,1.1456,10.0,2.3978952727983707,0.22071735749891375,0,Medium
2016,1,8,10.0,1,2.7582,15.0,2.772588722239781,0.23566848426074777,0,Low
1975,2,5,16.0,0,2.8358,180.0,5.198497031265826,0.2540221206772255,3,Low
2018,2,4,7.0,0,1.7084,30.0,3.4339872044851463,0.3618108476929035,0,Low
2017,1,4,12.7,1,3.28945,105.0,4.663439094112067,0.641866927381993,1,Medium
1995,2,4,8.0,0,1.44855,45.0,3.828641396489095,0.3547507574536683,0,Medium
2018,2,5,10.666666666666666,0,3.00825,67.5,4.22683374526818,0.49161994770822365,2,Medium
2008,2,2,21.0,0,2.9059,600.0,6.398594934535208,0.28529497979331325,3,Medium
2017,2,5,8.0,0,1.1265,15.0,2.772588722239781,0.18527837683414627,0,Medium
1997,2,4,12.336363636363636,0,3.5731,90.0,4.51085950651685,0.8632079900105366,2,High
2017,2,5,6.666666666666667,0,1.1207500000000001,20.0,3.044522437723423,0.3238031230050802,0,Medium
2010,2,5,14.090909090909092,0,4.45035,180.0,5.198497031265826,0.6056466434193004,1,High
2010,2,2,16.0,0,3.14155,400.0,5.993961427306569,0.3201101949525137,3,High
2014,2,4,9.0,1,1.2955,30.0,3.4339872044851463,0.3532119086476572,0,Low
2017,4,10,10.0,0,1.1021999999999998,52.5,3.979681653901961,0.17589283711637507,0,Medium
2002,2,4,7.0,0,1.56205,60.0,4.110873864173311,0.5107467016398421,4,Low
2016,1,3,12.0,0,3.1605499999999997,60.0,4.110873864173311,0.3217884355289121,2,High
1999,2,2,16.0,0,3.076,90.0,4.51085950651685,0.2496055986124195,3,High
1999,2,2,15.0,0,3.26885,180.0,5.198497031265826,0.5269733322337405,3,High
2017,2,4,7.138461538461539,0,1.6939,37.5,3.6506582412937387,0.7599167185733748,4,High
2010,2,4,12.210526315789474,0,3.25745,65.0,4.189654742026425,0.6229136956204699,2,Medium
2014,2,6,7.5,0,1.13615,15.0,2.772588722239781,0.37954966436032395,4,Medium
2017,1,4,13.625,0,4.440849999999999,105.0,4.663439094112067,0.8376050607447634,2,High
2014,2,4,8.0,0,2.13435,45.0,3.828641396489095,0.3048513982546195,0,Medium
2016,2,4,10.0,0,2.22005,37.5,3.6506582412937387,0.39543607565166417,0,High
2009,2,5,11.287671232876711,0,2.9302,75.0,4.330733340286331,0.8154856385443011,2,High
2014,2,6,8.0,0,2.05405,30.0,3.4339872044851463,0.19155213079160255,0,Medium
1996,2,5,12.0,0,2.8956,120.0,4.795790545596741,0.26569418926733973,3,Low
2020,1,1,10.0,0,3.1046,25.0,3.258096538021482,0.22817718468038023,0,Medium
2010,2,4,4.2727272727272725,0,1.0941,12.5,2.6026896854443837,0.37639641271900676,8,Low
2016,3,6,10.0,1,1.61225,45.0,3.828641396489095,0.2269475320813112,0,Low
2005,2,8,10.0,0,1.91375,90.0,4.51085950651685,0.38315084804831007,4,Low
2001,2,4,4.0,0,1.3155000000000001,30.0,3.4339872044851463,0.2964912981912002,8,Low
2001,2,2,13.263157894736842,0,1.51565,10.0,2.3978952727983707,0.41204007043114615,7,Low
2021,1,4,14.0,0,3.3702,105.0,4.663439094112067,0.2792788877180544,3,High
2004,2,4,8.162790697674419,0,2.3856,90.0,4.51085950651685,0.7285922058917231,1,High
2016,2,2,12.0,0,2.11315,30.0,3.4339872044851463,0.24253100968054375,0,High
2014,2,4,8.0,0,2.07355,30.0,3.4339872044851463,0.10559270671072464,0,Low
1979,2,2,12.0,0,3.5861,300.0,5.707110264748875,0.2244334460511586,3,Medium
2002,2,4,8.0,0,2.3974,60.0,4.110873864173311,0.5423069696808867,4,Medium
1980,1,362,12.0,0,3.60395,120.0,4.795790545596741,0.2845517931488054,0,Low
2016,3,6,12.0,0,2.07355,12.5,2.6026896854443837,0.22815638623526815,0,Low
2002,2,4,8.0,0,1.46965,37.5,3.6506582412937387,0.22124082055495814,8,Low
2003,3,4,8.0,0,1.4184,20.0,3.044522437723423,0.20805081106870774,0,Low
2019,2,4,10.0,0,2.8551,75.0,4.330733340286331,0.35469073833913833,0,High
1964,2,4,4.5,0,1.1174,15.0,2.772588722239781,0.37548118384773194,0,Low
2005,2,6,6.0,0,1.4865,37.5,3.6506582412937387,0.26218063657854107,0,Low
1972,2,2,8.0,0,2.07355,20.0,3.044522437723423,0.12961606752816665,0,Medium
2015,2,4,10.0,1,2.2725999999999997,60.0,4.110873864173311,0.3604486941650278,0,Medium
2014,1,1,10.0,0,1.76375,15.0,2.772588722239781,0.3501025183735032,0,Low
2015,2,4,10.0,0,1.9732,30.0,3.4339872044851463,0.3107882554307718,0,Low
2012,2,2,12.0,0,2.25015,90.0,4.51085950651685,0.22034061077740436,3,Medium
2018,2,6,10.666666666666666,1,2.8589,75.0,4.330733340286331,0.723624454438789,1,High
2021,1,7,8.5,1,1.9774,40.0,3.713572066704308,0.5053943815356419,0,High
2012,2,2,13.0,1,2.0676,30.0,3.4339872044851463,0.19675227555727337,0,Medium
2017,1,2,12.5,1,2.69335,75.0,4.330733340286331,0.3023890200068432,3,High
2017,2,5,10.0,0,2.0751999999999997,22.5,3.1570004211501135,0.18038340649292622,0,Medium
2016,1,5,10.0,1,2.0873999999999997,17.5,2.917770732084279,0.23438608607086187,0,Low
2007,2,2,16.0,0,3.3192000000000004,300.0,5.707110264748875,0.27700295979820494,3,Medium
1979,2,6,7.454545454545454,0,1.74505,120.0,4.795790545596741,0.4763860398898276,4,Low
2016,2,4,8.0,0,2.1319,23.0,3.1780538303479458,0.20693035514498215,0,High
1983,2,4,10.0,0,1.4520499999999998,30.0,3.4339872044851463,0.24528159729390997,0,Low
2000,3,5,10.0,0,1.0986500000000001,30.0,3.4339872044851463,0.17713001247259375,0,Low
2015,1,5,10.0,1,3.3748,90.0,4.51085950651685,0.39660949114121463,0,Medium
2011,2,6,9.2,0,2.25475,60.0,4.110873864173311,0.39502180134390114,1,Medium
2010,2,5,8.0,0,2.9002499999999998,37.5,3.6506582412937387,0.20313627312974403,3,Medium
1982,1,6,12.0,0,1.95025,120.0,4.795790545596741,0.38639112307137397,1,Low
2010,1,2,13.0,0,2.2057,40.0,3.713572066704308,0.392685314786036,3,Medium
1985,2,2,16.0,0,2.7473,120.0,4.795790545596741,0.2557427764595147,3,Low
2001,2,2,16.0,0,3.14325,180.0,5.198497031265826,0.21974664327943638,3,Low
2005,2,5,8.666666666666666,0,2.0850999999999997,30.0,3.4339872044851463,0.39555255881435003,2,Low
